"PAISES  E DATAS SURGIMENTO :"
""
""
""
"🌍 PAÍSES ATUAIS — POR CONTINENTE (com datas de surgimento / independência)"
"________________________________________"
"🟤 ÁFRICA (principais / maiores)"
"País	Surgiu / Independência"
"Nigéria	1-Out-1960 (do Reino Unido)"
"Etiópia	Nunca colonizada (império longo, ocupado brevemente 1936-1941)"
"Egito	1922 (independência parcial), 1952 (república moderna)"
"África do Sul	31-Mar-1910 (União); 27-Abr-1994 (fim do apartheid)"
"RD Congo	30-Jun-1960 (da Bélgica)"
"Quênia	12-Dez-1963 (do Reino Unido)"
"Tanzânia	9-Dez-1961 (Tanganyika) + 10-Dez-1963 (Zanzibar); União em 26-Abr-1964"
"Argélia	5-Jul-1962 (da França)"
"Marrocos	2-Mar-1956 (da França/Espanha)"
"Gana	6-Mar-1957 (do Reino Unido)"
"Angola	11-Nov-1975 (de Portugal)"
"Moçambique	25-Jun-1975 (de Portugal)"
"________________________________________"
"🔵 EUROPA (principais)"
"País	Surgiu / Independência"
"Alemanha	3-Out-1990 (reunificação)"
"França	Nacional desde a Revolução, 14-Jul-1789 como marco simbólico"
"Itália	Unificação moderna 17-Mar-1861"
"Espanha	Reino consolidado historicamente — data tradicional anterior ao século XVI"
"Portugal	1-Dez-1640 (restauração)"
"Reino Unido	1-Mai-1707 (unificação da Grã-Bretanha)"
"Rússia	12-Jun-1990 (declaração de soberania, URSS)"
"Ucrânia	24-Ago-1991 (da URSS)"
"Polônia	11-Nov-1918 (fim das partições)"
"Grécia	25-Mar-1821 (independência do Império Otomano)"
"Holanda (Países Baixos)	26-Jul-1581 (Acta de Abjuração) — estado moderno consolidado depois"
"Suécia	6-Jun-1523 (independência)"
"Noruega	7-Jun-1905 (da Suécia)"
"________________________________________"
"🔴 ÁSIA (principais)"
"País	Surgiu / Independência"
"China	1-Out-1949 (República Popular)"
"Índia	15-Ago-1947 (do Reino Unido)"
"Japão	Estado antigo, tradicionalmente 660 AEC (mitológico) ou consolidação mais antiga do que registros modernos"
"Coreia do Sul	15-Ago-1945 (da ocupação japonesa)"
"Coreia do Norte	15-Ago-1945 (da ocupação japonesa)"
"Indonésia	17-Ago-1945 (dos Países Baixos)"
"Paquistão	14-Ago-1947 (do Reino Unido)"
"Bangladesh	26-Mar-1971 (do Paquistão)"
"Irã	Estado antigo, modernamente Pérsia unificada séculos anteriores"
"Iraque	3-Out-1932 (do Reino Unido)"
"Arábia Saudita	23-Set-1932 (unificação)"
"Turquia	29-Out-1923 (República)"
"Tailândia	Estado nunca colonizado, histórico antigo"
"Vietnã	2-Set-1945 (da França/Japão)"
"________________________________________"
"🟢 AMÉRICA DO NORTE"
"País	Surgiu / Independência"
"Estados Unidos	4-Jul-1776 (do Reino Unido)"
"Canadá	1-Jul-1867 (Confederação/UK)"
"México	16-Set-1810 (da Espanha)"
"________________________________________"
"🟢 AMÉRICA CENTRAL"
"Inclui datas de independência do Império Espanhol principalmente (15-Set-1821, diversas nações)."
"País	Independência"
"Guatemala	15-Set-1821"
"Honduras	15-Set-1821"
"El Salvador	15-Set-1821"
"Nicarágua	15-Set-1821"
"Costa Rica	15-Set-1821"
"Panamá	3-Nov-1903 (de Colômbia)"
"________________________________________"
"🟢 AMÉRICA DO SUL"
"País	Independência"
"Brasil	7-Set-1822 (de Portugal)"
"Argentina	9-Jul-1816 (Espanha)"
"Colômbia	20-Jul-1810 (Espanha)"
"Chile	18-Set-1810 (Espanha)"
"Peru	28-Jul-1821 (Espanha)"
"Venezuela	5-Jul-1811 (Espanha)"
"Bolívia	6-Ago-1825 (Espanha)"
"Paraguai	14-Mai-1811 (Espanha)"
"Uruguai	25-Ago-1825 (Brasil)"
"Equador	10-Ago-1809 / 24-Mai-1822 (da Espanha)"
"________________________________________"
"🟣 OCEANIA / AUSTRÁLIA"
"País	Independência / Formação"
"Austrália	1-Jan-1901 (Federação)"
"Nova Zelândia	26-Set-1907 (Domínio) / 1947 completa"
"Papua-Nova Guiné	16-Set-1975"
"Fiji	10-Out-1970"
"________________________________________"
"🟡 ORIENTE MÉDIO (região histórica / política)"
"País	Independência / Fundação"
"Israel	14-Mai-1948 (declaração)"
"Palestina	15-Nov-1988 (declaração) — disputa de reconhecimento"
"Líbano	22-Nov-1943 (da França)"
"Síria	17-Abr-1946 (da França)"
"Jordânia	25-Mai-1946 (do Reino Unido)"
"Arábia Saudita	23-Set-1932 (unificação)"
"Emirados Árabes Unidos	2-Dez-1971 (do Reino Unido)"
"Catar	18-Dez-1971 (do Reino Unido)"
"Kuwait	25-Fev-1961 (do Reino Unido)"
"Omã	Estado histórico, tratado com Portugal em 1650 — moderna independência consolidada antes do século XX"
"Irã / Iraque	Respectivas datas acima"
""
